"date","region","new_cases","total"
2021-01-21,"Abkhazia",109,10984
2021-01-21,"Tskhinvali Region",20,2762
2021-01-22,"Abkhazia",112,11096
2021-01-22,"Tskhinvali Region",33,2795
2021-01-23,"Abkhazia",62,11158
2021-01-23,"Tskhinvali Region",0,2795
2021-01-24,"Abkhazia",0,11158
2021-01-24,"Tskhinvali Region",0,2795
2021-01-25,"Abkhazia",58,11216
2021-01-25,"Tskhinvali Region",0,2795
2021-01-26,"Abkhazia",85,11301
2021-01-26,"Tskhinvali Region",41,2836
2021-01-27,"Abkhazia",54,11355
2021-01-27,"Tskhinvali Region",9,2845
2021-01-28,"Abkhazia",56,11411
2021-01-28,"Tskhinvali Region",11,2856
2021-01-29,"Abkhazia",58,11469
2021-01-29,"Tskhinvali Region",13,2869
2021-01-30,"Abkhazia",51,11520
2021-01-30,"Tskhinvali Region",0,2869
2021-01-31,"Abkhazia",0,11520
2021-01-31,"Tskhinvali Region",0,2869
2021-02-01,"Abkhazia",44,11564
2021-02-01,"Tskhinvali Region",21,2890
2021-02-02,"Abkhazia",56,11620
2021-02-02,"Tskhinvali Region",21,2911
2021-02-03,"Abkhazia",64,11684
2021-02-03,"Tskhinvali Region",13,2924
2021-02-04,"Abkhazia",54,11738
2021-02-04,"Tskhinvali Region",12,2936
2021-02-05,"Abkhazia",23,11761
2021-02-05,"Tskhinvali Region",25,2961
2021-02-06,"Abkhazia",39,11800
2021-02-06,"Tskhinvali Region",0,2961
2021-02-07,"Abkhazia",0,11800
2021-02-07,"Tskhinvali Region",27,2988
2021-02-08,"Abkhazia",18,11818
2021-02-08,"Tskhinvali Region",0,2988
2021-02-09,"Abkhazia",51,11869
2021-02-09,"Tskhinvali Region",3,2991
2021-02-10,"Abkhazia",64,11933
2021-02-10,"Tskhinvali Region",16,3007
2021-02-11,"Abkhazia",55,11988
2021-02-11,"Tskhinvali Region",15,3022
2021-02-12,"Abkhazia",37,12025
2021-02-12,"Tskhinvali Region",10,3032
2021-02-13,"Abkhazia",34,12059
2021-02-13,"Tskhinvali Region",0,3032
2021-02-14,"Abkhazia",0,12059
2021-02-14,"Tskhinvali Region",0,3032
2021-02-15,"Abkhazia",47,12106
2021-02-15,"Tskhinvali Region",21,3053
2021-02-16,"Abkhazia",39,12145
2021-02-16,"Tskhinvali Region",12,3065
2021-02-17,"Abkhazia",24,12618
2021-02-17,"Tskhinvali Region",9,3074
2021-02-18,"Abkhazia",32,12650
2021-02-18,"Tskhinvali Region",10,3084
2021-02-19,"Abkhazia",21,12671
2021-02-19,"Tskhinvali Region",7,3091
2021-02-20,"Abkhazia",9,12680
2021-02-20,"Tskhinvali Region",7,3098
2021-02-21,"Abkhazia",0,12680
2021-02-21,"Tskhinvali Region",0,3098
2021-02-22,"Abkhazia",20,12700
2021-02-22,"Tskhinvali Region",0,3098
2021-02-23,"Abkhazia",25,12725
2021-02-23,"Tskhinvali Region",0,3098
2021-02-24,"Abkhazia",20,12745
2021-02-24,"Tskhinvali Region",17,3115
2021-02-25,"Abkhazia",32,12777
2021-02-25,"Tskhinvali Region",1,3116
2021-02-26,"Tskhinvali Region",7,3123
2021-02-26,"Abkhazia",11,12778
2021-02-27,"Abkhazia",26,12814
2021-02-28,"Tskhinvali Region",0,3123
2021-02-28,"Abkhazia",0,12814
